"","GeneID","Module"
"294","CDO30_RS29570","turquoise"
"295","CDO30_RS27165","blue"
"296","CDO30_RS09985","blue"
"297","CDO30_RS26915","grey"
"298","CDO30_RS17730","turquoise"
"299","CDO30_RS05680","blue"
"300","CDO30_RS16760","blue"
"301","CDO30_RS06850","turquoise"
"302","CDO30_RS11630","grey"
"303","CDO30_RS32110","blue"
"304","CDO30_RS06105","turquoise"
"305","CDO30_RS11760","brown"
"306","CDO30_RS02940","blue"
"307","CDO30_RS15135","turquoise"
"308","CDO30_RS06805","turquoise"
"309","CDO30_RS11295","brown"
"310","CDO30_RS16155","grey"
"311","CDO30_RS06625","turquoise"
"312","CDO30_RS17500","turquoise"
"313","CDO30_RS11765","red"
"314","CDO30_RS18040","turquoise"
"315","CDO30_RS03240","turquoise"
"316","CDO30_RS03905","turquoise"
"317","CDO30_RS04440","brown"
"318","CDO30_RS03965","turquoise"
"319","CDO30_RS09010","brown"
"320","CDO30_RS03800","grey"
"321","CDO30_RS31340","grey"
"322","CDO30_RS12960","grey"
"323","CDO30_RS17265","grey"
"324","CDO30_RS31325","blue"
"325","CDO30_RS18215","yellow"
"326","CDO30_RS08785","green"
"327","CDO30_RS05960","grey"
"328","CDO30_RS13950","grey"
"329","CDO30_RS10055","blue"
"330","CDO30_RS14590","red"
"331","CDO30_RS13280","turquoise"
"332","CDO30_RS21925","blue"
"333","CDO30_RS07780","green"
"334","CDO30_RS08225","turquoise"
"335","CDO30_RS16355","turquoise"
"336","CDO30_RS03305","turquoise"
"337","CDO30_RS06070","brown"
"338","CDO30_RS29700","green"
"339","CDO30_RS00475","turquoise"
"340","CDO30_RS02310","grey"
"341","CDO30_RS13295","turquoise"
"342","CDO30_RS14290","grey"
"343","CDO30_RS00280","green"
"344","CDO30_RS34280","brown"
"345","CDO30_RS19520","yellow"
"346","CDO30_RS19835","yellow"
"347","CDO30_RS01890","blue"
"348","CDO30_RS21370","yellow"
"349","CDO30_RS04330","blue"
"350","CDO30_RS31165","brown"
"351","CDO30_RS09755","turquoise"
"352","CDO30_RS03820","turquoise"
"353","CDO30_RS10805","brown"
"354","CDO30_RS10070","brown"
"355","CDO30_RS13165","brown"
"356","CDO30_RS29530","grey"
"357","CDO30_RS00810","turquoise"
"358","CDO30_RS33310","turquoise"
"359","CDO30_RS17435","black"
"360","CDO30_RS01780","turquoise"
"361","CDO30_RS09785","turquoise"
"362","CDO30_RS14570","brown"
"363","CDO30_RS34860","green"
"364","CDO30_RS14335","grey"
"365","CDO30_RS14240","brown"
"366","CDO30_RS03255","turquoise"
"367","CDO30_RS07005","green"
"368","CDO30_RS03750","turquoise"
"369","CDO30_RS02480","turquoise"
"370","CDO30_RS29715","blue"
"371","CDO30_RS00395","turquoise"
