"","MEbrown","MEred","MEblue","MEgreen","MEblack","MEturquoise","MEyellow","MEgrey"
"SRR18707735",-0.00158761545027898,-0.15987319799369,0.047976415489425,-0.0955166276878544,0.0665283772968455,0.0045817590551603,0.270390808747903,0.0225850817225877
"SRR18707738",-0.125227367565972,-0.060672657238755,-0.0200230045395039,-0.0669674754895055,-0.0930327268278462,-0.259940122977043,-0.160358750523397,-0.0567010766475042
"SRR18707740",-0.0622128363363831,-0.11008590498394,-0.0940595063784896,0.104837813878968,0.142484621386344,-0.250686145309144,0.109789160410793,-0.0793353229945086
"SRR18707741",-0.00137794967049883,-0.10971393065504,0.266484975418826,-0.0515184677246726,0.00814930150463307,0.121459451693368,-0.0582602910190686,0.0201637810230902
"SRR18707742",-0.0769464028103213,-0.0714817902413242,-0.081978184789473,-0.0922651086842396,-0.15760439164912,0.0170761735430662,-0.116170636909942,0.00965173181331925
"SRR18707743",0.376355730888108,0.30864903620768,-0.0236687538553487,0.00972477442960133,-0.105652090869042,-0.128700761942392,0.0595890845765628,-0.129428439166152
"SRR18707747",0.42865713722817,0.310292993750408,-0.0219090606899742,-0.0122897809669758,-0.0689167477359719,-0.125999293917084,-0.0703615266096221,-0.123089628421198
"SRR18707749",0.003672786625364,-0.0840203690404008,0.30265859724457,0.0126259460862136,0.0274565507071696,-0.0414790783190194,-0.0683949310549067,0.0524146177297186
"SRR18707751",-0.0130908273314721,0.0813024444866478,-0.15786717373573,-0.00323503570217341,-0.116930232664767,0.166151544120262,-0.0269920491623229,0.21183955916007
"SRR18707752",-0.0708731263825659,-0.159208844246229,-0.116539194695864,0.277493359017927,0.0741070217142766,-0.060479015762836,0.0662568462941064,-0.0554405809980398
"SRR18707753",-0.0184015393218685,0.206477936077712,-0.0397434782570278,0.0434687262358915,-0.0645609078105988,-0.0377629843619182,-0.0181253864003415,0.286233660538949
"SRR18707756",-0.0357453416954785,0.0890765213953374,-0.0947119949601266,0.0272407243462704,-0.0628795120207996,0.132723868709929,-0.106244489298359,0.109428125137226
"SRR18707757",0.0344863051699424,0.0502460742912942,-0.136313528183615,-0.115984688322119,0.254519839949423,0.0426980448833037,0.151338627562708,0.177956392285185
"SRR18707758",0.00462990495720112,-0.146605165450929,0.0921818966469354,0.0811408960840555,0.128536052922165,0.079592720136927,0.0294933326777543,0.0561709617715865
"SRR18707763",0.0117352809064564,0.13983266707816,-0.0960804118490275,-0.133852116484189,0.0541338024126145,0.157561953800306,0.0435845846462107,0.0626247326633013
"SRR18707767",-0.0597651075379408,0.130288136564757,-0.0770536819205958,0.28399295825272,-0.161124164273679,-0.0856625832613925,0.0359636332912367,-0.00161352524877333
"SRR18707769",-0.0963715110883811,-0.0970144309672958,-0.0451703080593363,-0.0923378563022509,0.123753854068386,-0.269049724974918,0.0880943170782525,-0.10883122577168
"SRR18707770",0.0157804782477326,-0.0840829944068313,0.362152686044005,0.247401030191629,-0.141118505162907,0.026056398521889,-0.21708901343007,0.0824491624837913
