"","GeneID","Module"
"212","MtrunA17_Chr7g0255191","blue"
"213","MtrunA17_Chr4g0037101","turquoise"
"214","MtrunA17_Chr3g0122141","green"
"215","MtrunA17_Chr4g0061371","purple"
"216","MtrunA17_Chr8g0346261","brown"
"217","MtrunA17_Chr6g0475431","turquoise"
"218","MtrunA17_Chr8g0362321","brown"
"219","MtrunA17_Chr7g0251411","turquoise"
"220","MtrunA17_Chr1g0148371","turquoise"
"221","MtrunA17_Chr3g0124851","yellow"
"222","MtrunA17_Chr1g0192121","turquoise"
"223","MtrunA17_Chr8g0368961","turquoise"
"224","MtrunA17_Chr3g0109381","greenyellow"
"225","MtrunA17_Chr5g0412521","greenyellow"
"226","MtrunA17_Chr2g0300901","red"
"227","MtrunA17_Chr6g0487481","blue"
"228","MtrunA17_Chr2g0287211","brown"
"229","MtrunA17_Chr4g0014901","blue"
"230","MtrunA17_Chr2g0307451","turquoise"
"231","MtrunA17_Chr8g0378161","brown"
"232","MtrunA17_Chr3g0131441","purple"
"233","MtrunA17_Chr6g0460971","tan"
"234","MtrunA17_Chr5g0441671","turquoise"
"235","MtrunA17_Chr1g0205691","blue"
"236","MtrunA17_Chr7g0244421","turquoise"
"237","MtrunA17_Chr8g0375021","turquoise"
"238","MtrunA17_Chr1g0189131","brown"
"239","MtrunA17_Chr2g0310761","turquoise"
"240","MtrunA17_Chr4g0050321","grey"
"241","MtrunA17_Chr8g0364961","blue"
"242","MtrunA17_Chr4g0073351","magenta"
"243","MtrunA17_Chr3g0111661","turquoise"
"244","MtrunA17_Chr2g0319561","blue"
"245","MtrunA17_Chr8g0382831","blue"
"246","MtrunA17_Chr8g0381031","blue"
"247","MtrunA17_Chr7g0240701","turquoise"
"248","MtrunA17_Chr4g0029071","brown"
"249","MtrunA17_Chr4g0038431","brown"
"250","MtrunA17_Chr2g0277571","turquoise"
"251","MtrunA17_Chr4g0044551","blue"
"252","MtrunA17_Chr5g0427801","turquoise"
"253","MtrunA17_Chr3g0138621","blue"
"254","MtrunA17_Chr3g0145051","blue"
"255","MtrunA17_Chr4g0031301","purple"
"256","MtrunA17_Chr4g0053811","turquoise"
"257","MtrunA17_Chr7g0256701","brown"
"258","MtrunA17_Chr4g0013391","grey"
"259","MtrunA17_Chr8g0382531","turquoise"
"260","MtrunA17_Chr3g0102341","turquoise"
"261","MtrunA17_Chr8g0348721","turquoise"
"262","MtrunA17_Chr5g0405491","blue"
"263","MtrunA17_Chr8g0347891","turquoise"
"264","MtrunA17_Chr6g0469201","purple"
"265","MtrunA17_Chr4g0041281","turquoise"
"266","MtrunA17_Chr3g0079591","brown"
"267","MtrunA17_Chr3g0122261","blue"
"268","MtrunA17_Chr1g0170471","tan"
"269","MtrunA17_Chr7g0245561","brown"
"270","MtrunA17_Chr5g0413721","turquoise"
"271","MtrunA17_Chr5g0399321","turquoise"
"272","MtrunA17_Chr1g0192651","grey"
"273","MtrunA17_Chr7g0266121","blue"
"274","MtrunA17_Chr3g0110161","brown"
"275","MtrunA17_Chr4g0008801","tan"
"276","MtrunA17_Chr3g0104011","blue"
"277","MtrunA17_Chr6g0454411","blue"
"278","MtrunA17_Chr1g0172721","greenyellow"
"279","MtrunA17_Chr7g0263361","turquoise"
"280","MtrunA17_Chr7g0249391","blue"
"281","MtrunA17_Chr8g0347791","pink"
"282","MtrunA17_Chr4g0047301","turquoise"
"283","MtrunA17_Chr4g0047861","red"
"284","MtrunA17_Chr1g0167601","green"
"285","MtrunA17_Chr2g0322181","purple"
"286","MtrunA17_Chr5g0411631","brown"
"287","MtrunA17_Chr7g0271991","turquoise"
"288","MtrunA17_Chr2g0322571","tan"
"289","MtrunA17_Chr1g0167631","turquoise"
"290","MtrunA17_Chr7g0248021","black"
"291","MtrunA17_Chr7g0240351","turquoise"
"292","MtrunA17_Chr1g0161151","cyan"
"293","MtrunA17_Chr8g0365221","blue"
"294","MtrunA17_Chr4g0032531","turquoise"
"295","MtrunA17_Chr5g0447201","blue"
"296","MtrunA17_Chr2g0294601","turquoise"
"297","MtrunA17_Chr0c01g0489101","brown"
"298","MtrunA17_Chr1g0147151","green"
"299","MtrunA17_Chr5g0399341","turquoise"
"300","MtrunA17_Chr5g0403961","turquoise"
"301","MtrunA17_Chr8g0339261","red"
"302","MtrunA17_Chr7g0244521","blue"
"303","MtrunA17_Chr5g0412301","turquoise"
"304","MtrunA17_Chr3g0127761","turquoise"
"305","MtrunA17_Chr8g0344961","brown"
"306","MtrunA17_Chr3g0114291","blue"
"307","MtrunA17_Chr2g0312441","turquoise"
"308","MtrunA17_Chr1g0147611","blue"
"309","MtrunA17_Chr1g0199191","turquoise"
"310","MtrunA17_Chr5g0420771","blue"
"311","MtrunA17_Chr4g0069831","blue"
"312","MtrunA17_Chr4g0034451","salmon"
"313","MtrunA17_Chr7g0215281","blue"
"314","MtrunA17_Chr5g0440931","turquoise"
"315","MtrunA17_Chr3g0100461","pink"
"316","MtrunA17_Chr3g0122501","turquoise"
"317","MtrunA17_Chr5g0422021","brown"
"318","MtrunA17_Chr2g0277001","turquoise"
"319","MtrunA17_Chr3g0113701","turquoise"
"320","MtrunA17_Chr1g0157231","brown"
"321","MtrunA17_Chr4g0056391","yellow"
"322","MtrunA17_Chr8g0369831","turquoise"
"323","MtrunA17_Chr1g0185661","blue"
"324","MtrunA17_Chr3g0143911","turquoise"
"325","MtrunA17_Chr6g0468561","brown"
"326","MtrunA17_Chr2g0291571","turquoise"
"327","MtrunA17_Chr5g0411051","tan"
"328","MtrunA17_Chr6g0464971","turquoise"
"329","MtrunA17_Chr3g0100561","blue"
"330","MtrunA17_Chr6g0453531","turquoise"
"331","MtrunA17_Chr8g0370431","grey"
"332","MtrunA17_Chr3g0137621","blue"
"333","MtrunA17_Chr8g0374461","turquoise"
"334","MtrunA17_Chr8g0389961","pink"
"335","MtrunA17_Chr7g0260501","green"
"336","MtrunA17_Chr1g0199951","blue"
"337","MtrunA17_Chr3g0129641","pink"
"338","MtrunA17_Chr6g0479391","turquoise"
"339","MtrunA17_Chr5g0409121","purple"
"340","MtrunA17_Chr5g0413247","turquoise"
"341","MtrunA17_Chr2g0333451","turquoise"
"342","MtrunA17_Chr3g0102791","turquoise"
"343","MtrunA17_Chr4g0073971","blue"
"344","MtrunA17_Chr8g0337661","turquoise"
"345","MtrunA17_Chr2g0325921","turquoise"
"346","MtrunA17_Chr0c01g0489121","yellow"
"347","MtrunA17_Chr1g0182571","turquoise"
"348","MtrunA17_Chr7g0244381","turquoise"
"349","MtrunA17_Chr4g0041081","blue"
"350","MtrunA17_Chr7g0257731","blue"
"351","MtrunA17_Chr8g0392281","turquoise"
"352","MtrunA17_Chr2g0276961","blue"
"353","MtrunA17_Chr1g0192661","brown"
"354","MtrunA17_Chr1g0176531","green"
"355","MtrunA17_Chr3g0128651","turquoise"
"356","MtrunA17_Chr4g0038111","turquoise"
"357","MtrunA17_Chr1g0154011","turquoise"
"358","MtrunA17_Chr3g0140611","brown"
"359","MtrunA17_Chr7g0266151","blue"
"360","MtrunA17_Chr7g0234701","greenyellow"
"361","MtrunA17_Chr4g0003581","blue"
"362","MtrunA17_Chr7g0236061","turquoise"
"363","MtrunA17_Chr4g0064501","brown"
"364","MtrunA17_Chr2g0308711","turquoise"
"365","MtrunA17_Chr8g0380401","turquoise"
"366","MtrunA17_Chr4g0064741","blue"
"367","MtrunA17_Chr1g0182671","green"
"368","MtrunA17_Chr4g0043521","brown"
"369","MtrunA17_Chr6g0484631","blue"
"370","MtrunA17_Chr1g0177751","turquoise"
"371","MtrunA17_Chr4g0041841","green"
"372","MtrunA17_Chr4g0004541","turquoise"
"373","MtrunA17_Chr7g0220581","turquoise"
"374","MtrunA17_Chr5g0433241","blue"
"375","MtrunA17_Chr6g0481821","blue"
"376","MtrunA17_Chr4g0062611","turquoise"
"377","MtrunA17_Chr3g0137771","pink"
"378","MtrunA17_Chr4g0003851","blue"
"379","MtrunA17_Chr3g0118361","blue"
"380","MtrunA17_Chr8g0373801","turquoise"
"381","MtrunA17_Chr3g0108261","brown"
"382","MtrunA17_Chr8g0366091","blue"
"383","MtrunA17_Chr8g0386331","blue"
"384","MtrunA17_Chr4g0050861","turquoise"
"385","MtrunA17_Chr8g0378821","yellow"
"386","MtrunA17_Chr4g0041381","blue"
"387","MtrunA17_Chr5g0403831","blue"
"388","MtrunA17_Chr5g0418701","red"
"389","MtrunA17_Chr1g0202111","greenyellow"
"390","MtrunA17_Chr1g0180631","turquoise"
"391","MtrunA17_Chr7g0274141","blue"
"392","MtrunA17_Chr5g0448621","brown"
"393","MtrunA17_Chr8g0339211","tan"
"394","MtrunA17_Chr6g0481121","turquoise"
"395","MtrunA17_Chr4g0055801","turquoise"
"396","MtrunA17_Chr3g0128751","blue"
"397","MtrunA17_Chr8g0335461","turquoise"
"398","MtrunA17_Chr4g0032721","green"
"399","MtrunA17_Chr2g0286781","turquoise"
"400","MtrunA17_Chr7g0222951","turquoise"
"401","MtrunA17_Chr1g0153181","brown"
"402","MtrunA17_Chr1g0157241","blue"
"403","MtrunA17_Chr8g0388891","blue"
"404","MtrunA17_Chr4g0022021","green"
"405","MtrunA17_Chr8g0377461","blue"
"406","MtrunA17_Chr7g0244121","green"
"407","MtrunA17_Chr1g0155341","tan"
"408","MtrunA17_Chr8g0369081","blue"
"409","MtrunA17_Chr5g0433161","brown"
"410","MtrunA17_Chr3g0134621","turquoise"
"411","MtrunA17_Chr7g0255431","turquoise"
"412","MtrunA17_Chr1g0194121","turquoise"
"413","MtrunA17_Chr2g0332031","blue"
"414","MtrunA17_Chr3g0119641","brown"
"415","MtrunA17_Chr1g0202021","turquoise"
"416","MtrunA17_Chr1g0195151","blue"
"417","MtrunA17_Chr4g0044751","blue"
"418","MtrunA17_Chr8g0335291","turquoise"
"419","MtrunA17_Chr6g0472241","turquoise"
"420","MtrunA17_Chr7g0242251","blue"
"421","MtrunA17_Chr6g0449911","turquoise"
"422","MtrunA17_Chr8g0359731","turquoise"
"423","MtrunA17_Chr4g0003011","turquoise"
"424","MtrunA17_Chr3g0118231","brown"
"425","MtrunA17_Chr4g0021881","red"
"426","MtrunA17_Chr7g0262991","turquoise"
"427","MtrunA17_Chr1g0166101","brown"
"428","MtrunA17_Chr1g0204511","grey"
"429","MtrunA17_Chr1g0159531","blue"
"430","MtrunA17_Chr4g0043601","blue"
"431","MtrunA17_Chr4g0020111","turquoise"
"432","MtrunA17_Chr5g0401281","blue"
"433","MtrunA17_Chr8g0386521","blue"
"434","MtrunA17_Chr4g0000031","turquoise"
"435","MtrunA17_Chr2g0323761","tan"
"436","MtrunA17_Chr1g0149351","blue"
"437","MtrunA17_Chr4g0062801","turquoise"
"438","MtrunA17_Chr4g0052551","turquoise"
"439","MtrunA17_Chr5g0399751","brown"
"440","MtrunA17_Chr1g0197501","turquoise"
"441","MtrunA17_Chr1g0177971","turquoise"
"442","MtrunA17_Chr5g0429051","blue"
"443","MtrunA17_Chr2g0292571","turquoise"
"444","MtrunA17_Chr1g0198871","turquoise"
"445","MtrunA17_Chr1g0181811","turquoise"
"446","MtrunA17_Chr5g0395951","blue"
"447","MtrunA17_Chr2g0298151","turquoise"
"448","MtrunA17_Chr7g0267811","greenyellow"
"449","MtrunA17_Chr7g0275591","blue"
"450","MtrunA17_Chr6g0463501","brown"
"451","MtrunA17_Chr7g0249291","blue"
"452","MtrunA17_Chr1g0201671","blue"
"453","MtrunA17_Chr4g0050561","blue"
"454","MtrunA17_Chr1g0168301","turquoise"
