"","MEblue","MEmidnightblue","MEtan","MEcyan","MElightcyan","MEmagenta","MEbrown","MEgreenyellow","MEgreen","MEyellow","MEblack","MEred","MEsalmon","MEpurple","MEpink","MEturquoise","MEgrey"
"SRR18707707",0.00968328473614095,-0.09065785840763,-0.0422110260208047,0.0800461688552418,0.0419372856821516,0.0822672227682691,0.0681394965577035,0.046124544168542,0.0338853883690353,-0.0556741154449776,-0.0414623496841739,-0.0999240380688899,-0.153884320088127,-0.0207962480356639,-0.00887534197515585,0.133250876868979,0.242270847185607
"SRR18707708",0.135090589150033,0.224398288113245,0.171716742205966,0.0727604090927611,0.00736003402324922,0.0329081673788092,-0.250182679475923,-0.348791548800874,0.0867105649241373,-0.149255300462996,-0.0512861035343296,-0.111848077135787,-0.133663310894246,-0.0790554983218109,0.0408924520865512,-0.208614322345523,0.27281089308304
"SRR18707709",0.13774680677894,0.0710197904455053,0.111199502395495,0.107986915975647,0.0324498215437519,0.292225497791063,-0.00431417822098556,-0.127337733947323,-0.137770384070387,-0.164548336723843,-0.0368591544877595,-0.0921344965987035,-0.132267948188557,0.0292735579777657,0.0638139035434454,0.179969484624797,0.087819719483024
"SRR18707711",0.16633705451855,0.0425504956313997,0.141482534104242,0.0880718598160275,-0.161188443090975,-0.0691358066397869,-0.0636238815573235,-0.0506034699383323,-0.162034827861598,-0.277185404384005,0.523680886391757,0.283915411936585,0.139585282292553,-0.0613617267997162,0.0226875237691647,0.18966053592342,0.0019538584740422
"SRR18707713",-0.045930729185529,-0.28508561722534,-0.0761924541397402,-0.403118272837608,-0.194812562926793,-0.188614387016774,0.0756726147852997,0.188593138373055,-0.0827545549768033,0.0150480429491517,-0.0836005838232188,0.268165481154395,0.172995694056015,-0.0183525064515396,-0.0179650584313483,0.0781849036778821,-0.234553497213175
"SRR18707714",0.0245882208962287,-0.00606887883746256,0.0294504834461982,-0.12865016603229,-0.110828662142218,-0.0985728510739564,0.0122499331122302,0.0623751341988751,-0.0013160417224012,0.0810780880724325,-0.0387955765559471,0.097765705578747,0.133093558908514,0.00846808512875158,0.0323700444602918,-0.0360911974978331,-0.0925144189157028
"SRR18707716",-0.03980012539141,-0.115242770172372,-0.0971522198713671,0.0645700317192352,0.0694299660347131,0.111804317129952,0.0565472009399563,0.114413820049868,0.0404779094767731,0.00328794188663009,-0.022842856012089,-0.0636310568342296,-0.072065265810969,0.0358700285655879,-0.0332804095928331,0.0350720097284678,0.0901091966079184
"SRR18707717",0.167980978435406,0.153443498807424,0.16257382128774,0.0924502444830727,0.15279136576385,0.012257093302602,-0.14840014859412,0.0429432590363728,-0.0268870297986355,-0.132606080332109,-0.0515619678411714,-0.109820557991352,-0.153123535926902,-0.0735795264194137,-0.00266459889730241,0.0228587489359769,-0.0449638693038696
"SRR18707721",-0.0995202425339433,-0.0722654333878883,-0.0773324314052075,-0.380055682847364,-0.0763080307129864,-0.107651340604483,0.184497996073707,0.134945121124192,0.0414132410344887,0.152718327948232,-0.0789119863510991,0.262005752803509,0.180736485154568,-0.0233899965323669,0.0326946213618153,0.110498683271269,-0.156537404591532
"SRR18707722",-0.132803761462112,-0.119722835578151,-0.0552940086100332,-0.112830453840912,0.0335199940369904,0.0136657050387615,0.166223243926642,0.117240594908607,0.123606426079755,0.11135923830594,-0.0353848142299091,0.101011176730359,0.124702762002312,-0.0142875759267336,-0.104358063788788,0.0465902350036057,-0.0751720102085999
"SRR18707723",-0.0243244472661655,0.039700757938141,-0.0725040928296889,0.0735984988607439,-0.0846106766755248,0.156180956606707,0.177661413359868,0.164198375966129,-0.0178171006714314,0.149782571397623,-0.0294216394330906,-0.0992283683216059,-0.158973070784171,-0.0137364276443932,0.0656816804145602,0.125625144174244,0.114079419050617
"SRR18707726",-0.0821339883888312,-0.0844740741549999,-0.0698696121285334,0.0611676336125938,0.0743441957621249,-0.00401569092998704,0.158656983124995,0.0698058201983727,0.0607461826296034,0.0768079460227175,-0.0269373965686515,-0.0711625226618116,-0.113840881734787,-0.0309996482827871,-0.0396584307102152,0.100634705211159,-0.00632684890930441
"SRR18707728",0.0902481656980815,0.0946826475149177,0.046377446399893,0.0882309109549245,0.173918610040496,0.283321399961737,0.032319514223166,-0.00578716193897327,0.0218132875475958,0.0286833359258181,-0.0704504238203863,-0.133673617907371,0.20112078810239,-0.0659662969965348,0.0656075467615381,0.110912736535428,0.12087332723714
"SRR18707729",0.257846171424969,-0.00889894976831187,-0.0783619806794239,-0.0974579147562732,0.0982854539936113,-0.0105981257617099,-0.370420466462407,-0.195554228837037,-0.425383908255344,-0.320026436020158,0.0513328256808366,0.14827284617577,0.111596697736146,0.564647709431808,0.25718594265135,-0.122391144016444,-0.132561792991531
"SRR18707731",-0.319102015223693,-0.258863777911279,-0.508295419519899,0.0608057750545964,-0.196986370260573,-0.117571800306543,0.21883982424004,-0.15403173598158,0.0795741405986596,0.100011710315193,-0.0153225170372468,-0.0681464544264677,-0.0930065846577869,0.276445771459963,-0.0119117164046777,0.0328300886069183,0.139269177859867
"SRR18707733",-0.184174404112224,-0.0419671732693798,-0.112777493400756,0.0743806537177775,-0.178057649828023,0.179758696304992,0.13552367865791,0.0698783291699827,0.0995608172462165,0.213001705959645,0.421900320136761,0.229407203503893,0.115424635314568,0.0509006609047067,0.0454207245511818,-0.0912866505360799,0.0397507402645878
"SRR18707734",0.062798074030743,-0.0619029806583963,0.0337835953945231,0.0633099917020763,0.154365664217353,-0.039615304774237,0.0877875626857887,0.0166758062833643,-0.109112198553045,-0.0188965873941655,-0.0577817404551844,-0.12263252282092,-0.162717356232296,-0.0462236972716243,0.109753416851655,0.176903630059965,0.0366534106496754
"SRR18707735",-0.0863008902507247,-0.108379906146194,0.0855881252143422,0.0651366064877201,-0.193287789965133,-0.230731416594995,0.0556643811340128,0.15658747931955,0.00514115649956374,-0.06098382994566,-0.0541138172238808,-0.0908622303645593,-0.124570974209467,-0.106066515899953,-0.156724395736449,0.0538421925195306,-0.300474879677145
"SRR18707738",-0.0520361574668588,0.0606173521968772,-0.163862319162275,0.0659872521236819,-0.0591876223520431,-0.13529796798218,-0.0495949764481067,0.0311260642016001,-0.0305120222181101,-0.0101025629315784,-0.0356156546856759,-0.0699821123872996,-0.0730679210571208,0.13610684543564,0.0204046717920712,-0.115765749412657,0.103560905726619
"SRR18707740",0.263825130178093,0.274900822238451,0.148923943950251,0.0861310300073724,0.233439841687231,0.170101173857293,-0.158487084015827,-0.137901504893476,-0.155521746134686,-0.164983617314579,-0.0580400132011118,-0.140267396516884,-0.150680565593489,0.00260249041112949,0.23493412838223,0.0557079241908585,0.139797911032408
"SRR18707741",0.0948405073299258,0.234166923019164,0.11255921256637,0.0871636341991275,0.0875350140431877,-0.0427620263757463,-0.121241114795253,-0.0889995597134076,0.191355302391769,0.0173340946250321,-0.0534933444489315,-0.115080984891856,-0.139834723551489,-0.0530239936299469,-0.0282043404936495,-0.0735531352849439,0.00990019522863793
"SRR18707742",-0.0761733517637151,-0.129500020937324,-0.0185375919561729,-0.396408398161031,-0.249520587128908,-0.123184877385642,0.142348261787497,0.0642169476831328,0.0470139608132503,0.13142685246758,-0.0742352970450165,0.269106405034925,0.181228413108246,-0.0662224559538461,-0.00323065647829882,0.0848474432050275,-0.172423679709596
"SRR18707743",-0.0235885592634088,-0.138260143717401,-0.111439513824394,0.0881950067913342,-0.0260232275897433,-0.00360033465909721,0.148039215707323,0.168291020830053,-0.128352451395996,0.0298427869694396,0.460253260618458,0.247558065718103,0.116825912386054,0.208614708525168,0.0976269727641293,0.195112867541165,0.00931068639805158
"SRR18707747",-0.0190981926611175,-0.00324849758885567,0.0895842637394712,0.0705945080894359,-0.00161890617328096,-0.169790969676236,-0.019874936526428,-0.0538930508392239,0.0480922465062226,-0.047268938583022,0.472283685928742,0.249051338817935,0.122390103986397,-0.0729994791363991,0.0365068087026099,-0.0284818249461788,-0.0228006108332547
