"","GeneID","Module"
"356","CDO30_RS29530","grey"
"357","CDO30_RS00810","yellow"
"358","CDO30_RS33310","black"
"359","CDO30_RS17435","blue"
"360","CDO30_RS01780","yellow"
"361","CDO30_RS09785","yellow"
"362","CDO30_RS14570","black"
"363","CDO30_RS34860","grey"
"364","CDO30_RS14335","grey"
"365","CDO30_RS14240","black"
"366","CDO30_RS03255","yellow"
"367","CDO30_RS07005","grey"
"368","CDO30_RS03750","yellow"
"369","CDO30_RS02480","grey"
"370","CDO30_RS29715","pink"
"371","CDO30_RS00395","yellow"
"372","CDO30_RS02075","yellow"
"373","CDO30_RS30620","pink"
"374","CDO30_RS05390","turquoise"
"375","CDO30_RS04095","black"
"376","CDO30_RS05970","pink"
"377","CDO30_RS11625","black"
"378","CDO30_RS28045","grey"
"379","CDO30_RS17120","yellow"
"380","CDO30_RS05955","turquoise"
"381","CDO30_RS05565","black"
"382","CDO30_RS11945","red"
"383","CDO30_RS16470","turquoise"
"384","CDO30_RS25180","grey"
"385","CDO30_RS02975","grey"
"386","CDO30_RS14565","blue"
"387","CDO30_RS08130","turquoise"
"388","CDO30_RS14455","blue"
"389","CDO30_RS01190","yellow"
"390","CDO30_RS19900","black"
"391","CDO30_RS16910","blue"
"392","CDO30_RS15450","black"
"393","CDO30_RS14815","grey"
"394","CDO30_RS19515","lightgreen"
"395","CDO30_RS08270","pink"
"396","CDO30_RS19260","blue"
"397","CDO30_RS12045","grey"
"398","CDO30_RS08750","turquoise"
"399","CDO30_RS17890","lightgreen"
"400","CDO30_RS06765","yellow"
"401","CDO30_RS12275","yellow"
"402","CDO30_RS08465","pink"
"403","CDO30_RS19785","magenta"
"404","CDO30_RS02665","blue"
"405","CDO30_RS31105","grey"
"406","CDO30_RS31620","yellow"
"407","CDO30_RS10040","pink"
"408","CDO30_RS02215","yellow"
"409","CDO30_RS29880","black"
"410","CDO30_RS03545","blue"
"411","CDO30_RS15025","black"
"412","CDO30_RS07010","grey"
"413","CDO30_RS28450","turquoise"
"414","CDO30_RS10880","black"
"415","CDO30_RS04450","grey"
"416","CDO30_RS02815","black"
"417","CDO30_RS00740","pink"
"418","CDO30_RS29280","black"
"419","CDO30_RS21215","black"
"420","CDO30_RS06125","yellow"
"421","CDO30_RS14325","magenta"
"422","CDO30_RS31650","grey"
"423","CDO30_RS16025","pink"
"424","CDO30_RS01680","grey"
"425","CDO30_RS18210","turquoise"
"426","CDO30_RS15140","grey"
"427","CDO30_RS27185","grey"
"428","CDO30_RS00190","yellow"
"429","CDO30_RS09840","yellow"
"430","CDO30_RS10740","salmon"
"431","CDO30_RS16105","magenta"
"432","CDO30_RS06060","black"
"433","CDO30_RS15035","blue"
"434","CDO30_RS03060","yellow"
"435","CDO30_RS06920","black"
"436","CDO30_RS14650","yellow"
"437","CDO30_RS25695","turquoise"
"438","CDO30_RS22750","grey"
"439","CDO30_RS02115","yellow"
"440","CDO30_RS05080","yellow"
"441","CDO30_RS18230","lightgreen"
"442","CDO30_RS09015","black"
"443","CDO30_RS14665","yellow"
"444","CDO30_RS06565","pink"
"445","CDO30_RS02730","yellow"
"446","CDO30_RS03945","yellow"
"447","CDO30_RS06860","turquoise"
"448","CDO30_RS09850","yellow"
"449","CDO30_RS03760","yellow"
"450","CDO30_RS11425","yellow"
"451","CDO30_RS12835","blue"
"452","CDO30_RS26080","grey60"
"453","CDO30_RS06935","yellow"
"454","CDO30_RS30005","pink"
"455","CDO30_RS31615","pink"
"456","CDO30_RS03745","yellow"
"457","CDO30_RS27875","pink"
"458","CDO30_RS05935","yellow"
"459","CDO30_RS10590","black"
"460","CDO30_RS11130","yellow"
"461","CDO30_RS16385","yellow"
"462","CDO30_RS03285","yellow"
"463","CDO30_RS11160","black"
"464","CDO30_RS02315","yellow"
"465","CDO30_RS11995","yellow"
"466","CDO30_RS00645","yellow"
"467","CDO30_RS11045","grey"
"468","CDO30_RS14295","black"
"469","CDO30_RS15905","grey"
"470","CDO30_RS35100","pink"
"471","CDO30_RS07100","yellow"
"472","CDO30_RS13315","black"
"473","CDO30_RS01535","turquoise"
"474","CDO30_RS01030","yellow"
"475","CDO30_RS15505","blue"
"476","CDO30_RS11090","black"
"477","CDO30_RS27125","yellow"
"478","CDO30_RS10080","black"
"479","CDO30_RS11440","yellow"
"480","CDO30_RS26415","pink"
"481","CDO30_RS03695","yellow"
"482","CDO30_RS27180","yellow"
"483","CDO30_RS03455","turquoise"
"484","CDO30_RS15800","grey"
"485","CDO30_RS15825","red"
"486","CDO30_RS20185","yellow"
"487","CDO30_RS25415","black"
"488","CDO30_RS16265","grey"
"489","CDO30_RS14635","grey"
"490","CDO30_RS17160","yellow"
"491","CDO30_RS00335","yellow"
"492","CDO30_RS24715","blue"
"493","CDO30_RS31665","pink"
"494","CDO30_RS11395","pink"
"495","CDO30_RS16070","yellow"
"496","CDO30_RS08180","black"
"497","CDO30_RS13195","yellow"
"498","CDO30_RS03960","grey"
"499","CDO30_RS31005","turquoise"
"500","CDO30_RS14345","yellow"
"501","CDO30_RS08260","blue"
"502","CDO30_RS01355","yellow"
"503","CDO30_RS00240","yellow"
"504","CDO30_RS17655","yellow"
"505","CDO30_RS34970","blue"
"506","CDO30_RS18795","yellow"
"507","CDO30_RS11480","yellow"
"508","CDO30_RS07070","black"
"509","CDO30_RS05600","pink"
"510","CDO30_RS02685","blue"
"511","CDO30_RS21220","turquoise"
"512","CDO30_RS27545","black"
"513","CDO30_RS07185","yellow"
"514","CDO30_RS00110","pink"
